feature,importance_mean,importance_std
City,0.5636007611145493,0.024258128931464666
Size,0.3209849715409899,0.023546289525158134
Point of Contact,0.15839551846164304,0.01755412323879468
Bathroom,0.06015185550934865,0.00959515325857306
total_floors,0.02837461123819788,0.006364865860849318
BHK,0.024329915224404385,0.004288125770595241
Furnishing Status,0.024199966185489773,0.004712951573869755
floor_level,0.01143930559741343,0.004074299795782865
Tenant Preferred,0.004232551003492091,0.0028449958298666874
Area Type,0.0013608987044825382,0.004205142844247281
